0,32097725
1,32097202
2,32096692
3,32096611
4,32096567
5,32096564
6,32096395
7,32096367
8,32096366
9,32093921
10,32093461
11,32093211
12,32093043
13,32092911
14,32092748
15,32092539
16,32092483
17,32092368
18,32091533
19,32091414
20,32097725
21,32097202
22,32096692
23,32096611
24,32096567
25,32096564
26,32096395
27,32096367
28,32096366
29,32093921
30,32093461
31,32093211
32,32093043
33,32092911
34,32092748
35,32092539
36,32092483
37,32092368
38,32091533
39,32091414
40,32097725
41,32097202
42,32096692
43,32096611
44,32096567
45,32096564
46,32096395
47,32096367
48,32096366
49,32093921
50,32093461
51,32093211
52,32093043
53,32092911
54,32092748
55,32092539
56,32092483
57,32092368
58,32091533
59,32091414
60,32097725
61,32097202
62,32096692
63,32096611
64,32096567
65,32096564
66,32096395
67,32096367
68,32096366
69,32093921
70,32093461
71,32093211
72,32093043
73,32092911
74,32092748
75,32092539
76,32092483
77,32092368
78,32091533
79,32091414
80,32097725
81,32097202
82,32096692
83,32096611
84,32096567
85,32096564
86,32096395
87,32096367
88,32096366
89,32093921
90,32093461
91,32093211
92,32093043
93,32092911
94,32092748
95,32092539
96,32092483
97,32092368
98,32091533
99,32091414
