pubmed - ebola
year,count
2020,144
2019,817
2018,856
2017,1038
2016,1258
2015,1910
2014,980
2013,110
2012,145
2011,153
2010,107
2009,84
2008,66
2007,114
2006,93
2005,84
2004,95
2003,107
2002,79
2001,78
2000,67
1999,88
1998,45
1997,44
1996,63
1995,56
1994,8
1993,16
1992,12
1991,5
1990,19
1989,10
1988,5
1987,6
1986,7
1985,4
1984,3
1983,15
1982,12
1981,10
1980,15
1979,13
1978,14
1977,5

